id,fit,a,b,cdf_r2_score,pdf_r2_score
2529,cdf,1.0,1.0,-15.218512629538598,-0.21800306313576012
2530,cdf,1.0,1.0,-13.511243571302852,-0.25963449776940983
2531,cdf,1.0,1.0,-11.18228609966827,-0.2739178537817599
2532,cdf,1.0,1.0,-17.219522624561154,-0.22292302089773952
2533,cdf,1.0,1.0,-22.494291428221977,-0.12451053523712341
2534,cdf,1.0,1.0,-17.399370695536586,-0.21220758471744516
2535,cdf,1.0,1.0,-18.932875994301043,-0.1569276029664166
2537,cdf,1.0,1.0,-15.653662450617837,-0.23658794360636937
2540,cdf,1.0,1.0,-22.472749426909527,-0.0775450378443141
2541,cdf,1.0,1.0,-21.849883620558938,-0.14441151276081565
2544,cdf,1.0,1.0,-15.57112188303045,-0.2329119735175642
2545,cdf,1.0,1.0,-9.430759615007464,-0.3488703165572742
2546,cdf,1.0,1.0,-17.573022549530034,-0.22691238154200022
2548,cdf,1.0,1.0,-4.86285582752979,-0.5047187702874265
2550,cdf,1.0,1.0,-6.324312255313814,-0.41910131201586465
2551,cdf,1.0,1.0,-15.946714069942733,-0.21020912585141027
2552,cdf,1.0,1.0,-15.95812191864459,-0.22632658631287317
2554,cdf,1.0,1.0,-15.750486591227247,-0.2624809447100862
2555,cdf,1.0,1.0,-9.498365834872656,-0.44041150132520146
2556,cdf,1.0,1.0,-7.800769225067118,-0.3936078442190576
2557,cdf,1.0,1.0,-21.761301236606517,-0.1695732387532496
2558,cdf,1.0,1.0,-18.136448443941745,-0.21562639406499629
2559,cdf,1.0,1.0,-10.119668630639891,-0.23677216664659428
2560,cdf,1.0,1.0,-11.141067965826304,-0.2806900897611324
2561,cdf,1.0,1.0,-10.424576764292887,-0.2955568073864765
2562,cdf,1.0,1.0,-23.75848325015709,-0.15482753306079244
2563,cdf,1.0,1.0,-15.992162478075102,-0.22415065272838786
2564,cdf,1.0,1.0,-14.992076684878134,-0.20348071333631013
2565,cdf,1.0,1.0,-11.501414366684477,-0.25807246346302093
2566,cdf,1.0,1.0,-14.4514674410425,-0.21385585538853724
2567,cdf,1.0,1.0,-13.021957719602641,-0.2603231438590352
2569,cdf,1.0,1.0,-27.596754807957506,-0.12237295752635502
2570,cdf,1.0,1.0,-20.044968008545275,-0.16709305771479022
2571,cdf,1.0,1.0,-25.301139722707923,-0.12144179631357566
2572,cdf,1.0,1.0,-13.103030781943142,-0.3022956478102261
2573,cdf,1.0,1.0,-17.325924546752955,-0.13304296125719173
2575,cdf,1.0,1.0,-10.078947102861326,-0.25145317723397986
2576,cdf,1.0,1.0,-19.97389639546506,-0.17522161296150873
2577,cdf,1.0,1.0,-14.1037234514249,-0.23541881787283758
2578,cdf,1.0,1.0,-19.857297040433917,-0.1614498279005223
2580,cdf,1.0,1.0,-22.442853302384002,-0.13923077100041792
2581,cdf,1.0,1.0,-11.294122078762122,-0.32422953788868414
2583,cdf,1.0,1.0,-14.392560573892583,-0.23222410790617043
2584,cdf,1.0,1.0,-11.29106422103208,-0.29928352076030773
2585,cdf,1.0,1.0,-18.06850488032767,-0.16768081939673696
2586,cdf,1.0,1.0,-17.43406808243683,-0.1702357729619388
2587,cdf,1.0,1.0,-28.085872489489503,-0.1263982249712392
2588,cdf,1.0,1.0,-23.05619376148855,-0.11742854982485085
2590,cdf,1.0,1.0,-16.257072672524597,-0.23086932419275086
2591,cdf,1.0,1.0,-13.858666033048161,-0.22429943898396165
2592,cdf,1.0,1.0,-9.430763498374915,-0.3533546674418575
2593,cdf,1.0,1.0,-15.406249856718961,-0.2178608427169666
2594,cdf,1.0,1.0,-14.028787768995967,-0.271108905428155
2595,cdf,1.0,1.0,-23.383119690560438,-0.14225510092701188
2596,cdf,1.0,1.0,-33.499252445040234,-0.0930413983339573
2597,cdf,1.0,1.0,-11.829162651568863,-0.32780364171392384
2599,cdf,1.0,1.0,-13.62179901633463,-0.27182813233743497
2600,cdf,1.0,1.0,-22.280478361690385,-0.16358175185011148
2601,cdf,1.0,1.0,-9.755110895291045,-0.34560395998039817
2603,cdf,1.0,1.0,-14.194632427531788,-0.2596725003491529
2604,cdf,1.0,1.0,-15.535384563203454,-0.22839177719641945
2605,cdf,1.0,1.0,-16.14260892015328,-0.17450438828305703
2606,cdf,1.0,1.0,-12.907880760035912,-0.2819997051364369
2609,cdf,1.0,1.0,-13.892234220762623,-0.23845515714301024
2610,cdf,1.0,1.0,-15.763770417093099,-0.22210995961554403
2611,cdf,1.0,1.0,-16.497357550250996,-0.2171981147091231
2612,cdf,1.0,1.0,-30.98633387535385,-0.0884153756403756
2613,cdf,1.0,1.0,-12.170024276109944,-0.3109056226910418
2614,cdf,1.0,1.0,-10.519577775144441,-0.30302009976146227
2615,cdf,1.0,1.0,-24.701856364033635,-0.15160584529033394
2616,cdf,1.0,1.0,-14.368305812897907,-0.26767281539689036
2617,cdf,1.0,1.0,-31.37732458242266,-0.1112314435855759
2618,cdf,1.0,1.0,-16.21568850838065,-0.23612393125037423
2619,cdf,1.0,1.0,-14.015665893458912,-0.2601808516551358
2620,cdf,1.0,1.0,-12.532176391993852,-0.30235855721741767
2621,cdf,1.0,1.0,-17.36501114912796,-0.19502593236136878
2623,cdf,1.0,1.0,-21.30504787326698,-0.14980836419795174
2624,cdf,1.0,1.0,-6.975215275906972,-0.36559036616566787
2625,cdf,1.0,1.0,-11.589635096684004,-0.28089303781330877
2626,cdf,1.0,1.0,-13.684483681963014,-0.2989212011144675
2627,cdf,1.0,1.0,-12.99998724877967,-0.3232810809121287
2628,cdf,1.0,1.0,-9.858164795622233,-0.347522076961966
2629,cdf,1.0,1.0,-14.777327828642592,-0.2238356961130843
2630,cdf,1.0,1.0,-8.798984219706725,-0.39130981721703306
2631,cdf,1.0,1.0,-28.665457198225543,-0.09470268077558286
2632,cdf,1.0,1.0,-12.76950168721024,-0.2588966882172039
2633,cdf,1.0,1.0,-12.229313796475449,-0.3428659348095615
2634,cdf,1.0,1.0,-12.002420709157867,-0.23047107078770823
2635,cdf,1.0,1.0,-7.248998610530732,-0.5160420379599973
2636,cdf,1.0,1.0,-9.749237570140359,-0.35182342706512904
2637,cdf,1.0,1.0,-8.230786677186902,-0.5117785754972397
2638,cdf,1.0,1.0,-9.287775442008245,-0.28882367913121443
2639,cdf,1.0,1.0,-8.052799185846562,-0.38703567337853273
2640,cdf,1.0,1.0,-8.030135213049027,-0.3683933221403768
2641,cdf,1.0,1.0,-9.089930364693839,-0.24240808247490508
2642,cdf,1.0,1.0,-11.750461946452917,-0.2331507056315254
2643,cdf,1.0,1.0,-7.488834427123663,-0.39258598682200807
2644,cdf,1.0,1.0,-10.239132310811343,-0.2704831631914628
2646,cdf,1.0,1.0,-13.749704868425757,-0.23009522678825278
2648,cdf,1.0,1.0,-6.2971289172850256,-0.32068121685793627
2650,cdf,1.0,1.0,-8.359187581288966,-0.32360733394869756
2651,cdf,1.0,1.0,-5.41914958762481,-0.32567112163211
2653,cdf,1.0,1.0,-20.228171709731797,-0.16945565471368873
2654,cdf,1.0,1.0,-7.967842740813516,-0.3884409829225002
2657,cdf,1.0,1.0,-11.881231200292557,-0.29257587604191837
2659,cdf,1.0,1.0,-8.327771325983162,-0.3277959016896448
2663,cdf,1.0,1.0,-10.88944643769908,-0.2398649563821551
2664,cdf,1.0,1.0,-13.548359506211634,-0.2185786384145434
2665,cdf,1.0,1.0,-8.318153836108596,-0.3620201559167926
2666,cdf,1.0,1.0,-15.736346151145458,-0.20390150566719156
2667,cdf,1.0,1.0,-17.381005067918483,-0.1590039880592351
2668,cdf,1.0,1.0,-13.191915972038373,-0.250426827331762
2669,cdf,1.0,1.0,-12.451398293877391,-0.24458512876948557
2670,cdf,1.0,1.0,-9.278155472955762,-0.26230317589783203
2671,cdf,1.0,1.0,-14.343122278715072,-0.20141926127786736
2672,cdf,1.0,1.0,-9.797094766213847,-0.20473311655189597
2673,cdf,1.0,1.0,-8.220787411913925,-0.3703136085199896
2674,cdf,1.0,1.0,-15.40073911807579,-0.15932398717885965
2675,cdf,1.0,1.0,-10.79605883575829,-0.32887536641241444
2677,cdf,1.0,1.0,-8.716493078994366,-0.36907621492305887
2679,cdf,1.0,1.0,-9.055161228256237,-0.36653896251908447
2680,cdf,1.0,1.0,-8.657805023300641,-0.36905278794790597
